steps,minutes,mean_score,median_score,max_score,mean_level,max_level,levels_cleared,ghosts_per_game,unfinished
45000000,175.84,34559.0,35395.0,43320,7.0,9,60,38.8,0
45250000,178.76,25371.0,21755.0,38250,5.1,7,41,28.4,0
45500000,181.6,19873.0,19510.0,30480,4.4,7,34,22.0,0
45750000,184.42,24200.0,24110.0,37270,5.0,7,40,26.5,0
46000000,187.2,30495.0,27120.0,46950,5.7,9,47,34.7,0
46250000,190.03,29906.0,28825.0,47550,5.9,9,49,32.9,0
46500000,192.93,29826.0,28210.0,37960,5.8,8,48,33.1,0
46750000,195.75,26709.0,27395.0,38710,5.3,7,43,29.6,0
47000000,198.53,27550.0,27120.0,46550,5.1,8,41,31.1,0
47250000,201.37,30649.0,30680.0,41380,6.2,8,52,33.6,0
47500000,204.12,24611.0,23775.0,35910,5.1,7,41,26.3,0
47750000,209.04,29019.0,29690.0,36660,5.6,7,46,32.7,0
48000000,212.59,28961.0,27715.0,41420,5.7,8,47,32.8,0
48250000,215.37,24250.0,23090.0,43130,5.2,9,42,26.6,0
48500000,218.29,30256.0,27270.0,46530,5.7,8,47,33.7,0
48750000,221.24,32528.0,35465.0,46600,6.3,8,53,36.7,0
49000000,224.19,21243.0,16310.0,38230,4.3,7,33,24.2,0
49250000,227.0,26389.0,23060.0,40680,5.0,8,40,29.0,0
49500000,229.85,28253.0,29715.0,39590,6.2,9,52,29.8,0
49750000,232.76,27776.0,26035.0,40570,5.6,8,46,30.9,0
50000000,235.58,28812.0,26860.0,40090,6.2,9,52,30.8,0
50250000,238.67,30967.0,31710.0,42040,6.4,9,54,32.6,0
50500000,241.61,30622.0,28245.0,44950,6.0,8,50,34.3,0
50750000,244.34,30317.0,29660.0,47390,6.1,9,51,33.4,0
51000000,247.06,31048.0,31980.0,43510,6.1,9,51,35.5,0
51250000,249.89,25211.0,24260.0,36130,5.0,8,40,29.0,0
51500000,252.6,28178.0,30655.0,38830,5.5,7,45,31.1,0
51750000,255.4,33477.0,29515.0,77460,6.3,13,53,35.7,0
52000000,258.19,28014.0,23855.0,46010,5.5,9,45,30.9,0
52250000,260.9,25220.0,26070.0,32130,4.9,7,39,28.6,0
52500000,263.63,24962.0,26035.0,36410,5.1,8,41,27.0,0
52750000,266.38,28091.0,27380.0,45820,5.7,9,47,30.6,0
53000000,269.18,33647.0,33285.0,52060,6.5,9,55,37.8,0
53250000,271.94,24706.0,19705.0,44260,4.9,9,39,26.8,0
53500000,274.73,27198.0,24365.0,48770,5.5,9,45,30.3,0
53750000,277.52,28659.0,28945.0,43350,6.0,9,50,31.7,0
54000000,280.28,30778.0,31880.0,45890,6.3,10,53,32.6,0
54250000,283.11,25630.0,23235.0,39590,5.1,7,41,28.3,0
54500000,285.85,29310.0,30850.0,42340,6.0,8,50,31.4,0
54750000,288.63,30145.0,29185.0,40540,6.0,8,50,33.9,0
55000000,291.42,28784.0,29660.0,48440,6.2,9,52,31.3,0
55250000,294.3,26960.0,24815.0,43950,5.5,8,45,30.8,0
55500000,297.1,23031.0,20890.0,39950,4.5,7,35,25.9,0
55750000,299.83,29176.0,28445.0,44010,5.5,8,45,33.1,0
56000000,302.6,23706.0,24400.0,33780,4.9,7,39,26.7,0
56250000,305.36,33214.0,31760.0,47530,6.5,9,55,36.8,0
56500000,308.21,24146.0,22505.0,35360,5.1,8,41,27.6,0
56750000,311.06,29082.0,29760.0,38040,5.9,8,49,32.2,0
57000000,313.89,28111.0,26855.0,43270,6.2,9,52,28.8,0
57250000,316.7,28187.0,25890.0,46740,5.8,8,48,30.5,0
57500000,319.57,35548.0,36110.0,54240,6.9,10,59,39.4,0
57750000,2.21,26164.0,24880.0,37230,5.6,8,46,27.1,0
58000000,4.84,36852.0,32755.0,72650,7.3,14,63,38.7,0
58250000,7.33,29539.0,28590.0,44590,6.2,9,52,32.7,0
58500000,9.83,31718.0,32480.0,40450,6.2,8,52,35.7,0
58750000,12.33,33573.0,31595.0,64280,6.8,12,58,36.8,0
59000000,14.79,29310.0,27580.0,50880,6.0,10,50,32.3,0
59250000,17.24,26265.0,24095.0,50150,5.5,11,45,28.1,0
59500000,19.67,32027.0,27245.0,51110,6.2,10,52,35.0,0
59750000,22.15,31698.0,30840.0,54260,6.3,10,53,34.7,0
60000000,24.6,36786.0,36530.0,51270,7.4,10,64,38.7,0
60250000,27.14,34556.0,34425.0,48630,6.7,9,57,37.5,0
60500000,29.64,26765.0,25170.0,37620,5.6,8,46,28.7,0
60750000,32.2,28646.0,27130.0,48760,5.7,9,47,31.4,0
61000000,34.72,28991.0,29350.0,36680,6.3,7,53,30.8,0
61250000,37.25,26219.0,23810.0,44030,5.6,9,46,28.0,0
61500000,39.73,30363.0,30975.0,38430,6.2,8,52,33.2,0
61750000,42.22,27788.0,28285.0,35190,5.6,7,46,31.1,0
62000000,44.73,32344.0,31590.0,44010,6.6,9,56,35.2,0
62250000,47.24,33411.0,32165.0,57320,7.1,11,61,36.7,0
62500000,49.73,30374.0,31125.0,41030,6.5,9,55,33.9,0
62750000,52.25,34200.0,32490.0,60690,7.0,12,60,36.9,0
63000000,54.8,35506.0,33055.0,59590,7.4,12,64,38.0,0
63250000,57.46,27429.0,26715.0,35460,6.1,8,51,28.8,0
63500000,59.96,27050.0,28420.0,33500,5.9,7,49,28.4,0
63750000,62.41,31627.0,27415.0,56820,6.6,11,56,33.9,0
64000000,64.89,29109.0,25555.0,61970,6.3,12,53,29.7,0
64250000,67.34,31146.0,27690.0,47580,6.6,10,56,32.6,0
64500000,69.89,31179.0,28615.0,46950,6.5,10,55,33.2,0
64750000,72.39,26622.0,26005.0,47050,5.5,9,45,29.4,0
65000000,74.91,34694.0,36090.0,61900,7.4,13,64,36.2,0
65250000,77.82,32988.0,32530.0,59620,6.7,11,57,35.7,0
65500000,80.34,42500.0,45340.0,65400,8.5,12,75,44.5,0
65750000,82.81,29895.0,29855.0,40090,6.3,9,53,32.1,0
66000000,85.27,26137.0,26395.0,36950,5.8,8,48,27.8,0
66250000,87.83,35639.0,33970.0,64780,7.0,12,60,38.6,0
66500000,90.38,31600.0,28670.0,74350,6.1,13,51,33.0,0
66750000,92.98,39133.0,33070.0,76110,8.1,15,71,39.9,0
67000000,95.53,37125.0,32595.0,59490,7.4,11,64,40.0,0
67250000,98.08,34841.0,32570.0,66630,6.8,12,58,37.8,0
67500000,100.6,38433.0,40040.0,62520,7.4,11,64,41.6,0
